change_id,component,original_behavior,evidence_for_original,problem/failure,evidence_for_problem,modification (commit + file),latest_behavior,evidence_for_latest,status,experiment_that_measures_it,motivation_documented,evidence_grade,limitation,v2_fresh_result
CHG-32,Correction safety - ordinal-integrity check (fabricated confirmation),"Ordinal matching assumed same-identity siblings keep their relative order, an invariant the scope check never enforced",100e263 research/prototype/src/pipeline.py apply_selective_correction ordinal lookup,"If the corrector reorders two same-identity claims, every unflagged claim's text still appears (scope check passes) but the Nth same-identity claim is no longer the same slot - the 'replacement' can be an untouched sibling's own original sentence, shipped as status='corrected' with a genuine-looking ENTAILED confirmation never computed against the real edit (a fabricated safety confirmation)",FINAL_PRODUCTION_CONFIG.md section 8 'Update 2026-09-08'; in-code comment; tests/test_pipeline_mock.py::test_reordered_shared_citation_claims_rejected_not_fabricated_as_corrected,adf54aa research/prototype/src/pipeline.py (replacement vs other same-identity baseline texts check + status 'correction_ordinal_ambiguous' + final_field source),"If the selected replacement is byte-identical to another same-identity claim's original text, the correction is rejected with a distinct status rather than shipped",research/prototype/src/pipeline.py @ fb4e98f apply_selective_correction,PROMOTED_PRODUCTION,NONE for a data batch (regression test only); the combined gate class accounts for 5/10 first failures in outputs/error_propagation_matrix.csv,YES - FINAL_PRODUCTION_CONFIG.md section 8 update and in-code comment,BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-33,Correction safety - sibling-regression exclusion of pre-existing failures,"_reverify_sibling_regressions re-checked EVERY unflagged sibling, including ones already independently CONTRADICTED in the baseline",100e263 research/prototype/src/pipeline.py _reverify_sibling_regressions,"An otherwise-successful correction was mislabeled 'correction_sibling_regression', conflating 'my edit broke something' with 'something else was already broken and was never touched' - corrupting failure-category attribution",FINAL_PRODUCTION_CONFIG.md section 8 '(b)'; docstring; tests/test_pipeline_mock.py::test_sibling_regression_check_excludes_a_pre_existing_independently_flagged_sibling,adf54aa research/prototype/src/pipeline.py (_should_trigger_correction(rec) AND rec['claim_text'] in corrected_text -> skip),Already-flagged siblings are skipped ONLY when genuinely untouched (full claim_text preserved verbatim); a flagged sibling whose surrounding text changed is still re-checked,research/prototype/src/pipeline.py @ fb4e98f _reverify_sibling_regressions docstring,PROMOTED_PRODUCTION,NONE for a data batch (regression test only),"YES - FINAL_PRODUCTION_CONFIG.md section 8(b) and docstring, which also names the narrower gap the fix deliberately left open",BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-34,Correction mechanism - assertion-aware (span rewrite + deterministic splice),"Correction asked the LLM to regenerate the WHOLE paragraph with one sentence changed, then checked afterwards that unflagged content survived byte-for-byte",0e37525 research/prototype/src/corrector.py SelectiveCorrector.correct(); src/pipeline.py apply_selective_correction,Whole-paragraph regeneration is what makes scope violations possible at all; on bundled sentences the dominant real-data failure mode was a substantively correct edit rejected by scope/citation/ordinal gates (5/10 first failures),research/prototype/outputs/assertion_aware_correction_experiment_report.md; outputs/error_propagation_analysis.md; FINAL_PRODUCTION_CONFIG.md section 5b,"8cf8fa9 research/prototype/src/corrector.py correct_assertion_span() + src/pipeline.py apply_selective_correction_assertion_aware / _splice_assertion_correction / _correction_target_spans + config correction.assertion_aware (false), assertion_span_system_prompt, assertion_span_max_new_tokens + tests/test_assertion_aware_correction.py (26 tests)","Implemented, benchmarked and left OFF: legacy apply_selective_correction remains the production path. The new path rewrites only assertion_spans[-1] and splices by exact substring replacement, so everything outside the target span is byte-identical by construction",research/prototype/config/prototype.yaml correction.assertion_aware: false; FINAL_PRODUCTION_CONFIG.md section 5b; FINAL_RESEARCH_FREEZE_REPORT.md section G2,EXPERIMENTAL_NOT_PROMOTED,"research/prototype/outputs/assertion_aware_correction_experiment_report.md + _comparison.json + _OLD/_CURRENT.jsonl (n=10 paired real Qwen+DeBERTa attempts: LEGACY 0/10 shipped, ASSERTION-AWARE 0/10, 0 unsafe); outputs/assertion_aware_correction_controlled_benchmark.md; outputs/assertion_span_aware_integration_replay.json (9 replayed attempts, 0 target/outcome mismatches); outputs/error_propagation_matrix.csv","YES - FINAL_PRODUCTION_CONFIG.md section 5b: 'Zero measured improvement in correction-shipping rate at n=10 ... per this project's own rule, an implementation is not promoted merely because it is architecturally sound'",GOLD,Gold-labelled benchmark. See the attributed/non-attributed stratification caveat before quoting the headline.,
CHG-35,Correction - structural-span validation and new fail-closed statuses,Correction had 3 outcomes: corrected / correction_failed / correction_scope_violation,0e37525 research/prototype/src/pipeline.py apply_selective_correction statuses,"The assertion-aware path can fail in ways the legacy statuses cannot express: a malformed/missing assertion_spans representation, an ambiguous splice target, or an edit that drops a structural span (the citation's own bare provision number) while keeping the content fragment",apply_selective_correction_assertion_aware and _correction_target_spans docstrings (8cf8fa9); FINAL_PRODUCTION_CONFIG.md section 5b UPDATE 2026-09-12,"8cf8fa9 research/prototype/src/pipeline.py statuses correction_span_invalid, correction_splice_unavailable, correction_structural_span_lost (+ matching final_field sources)",The assertion-aware path fails closed on each of these rather than guessing; the sibling-regression net runs UNCONDITIONALLY on this path (not only when an atomic scope mode is on),"research/prototype/src/pipeline.py @ fb4e98f (apply_selective_correction_assertion_aware, run_case final_field branches)",EXPERIMENTAL_NOT_PROMOTED,"research/prototype/outputs/error_propagation_matrix.csv + error_propagation_analysis.md (0/10 structural_span_lost, 0/10 span_invalid - explicitly 'zero real-data coverage here; they are exercised only by the deterministic test suite'); tests/test_assertion_aware_correction.py",YES - docstrings and FINAL_PRODUCTION_CONFIG.md section 5b update; the zero real-data coverage is stated openly in error_propagation_analysis.md,HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
CHG-36,Final answer assembly - fail-closed sources,final_field had 4 possible sources: original / corrected / correction_failed / correction_scope_violation; a rejected correction always falls back to the original generated text,0e37525 research/prototype/src/pipeline.py run_case,"New rejection categories (sibling regression, ordinal ambiguity, unauthorized addition, plus the three assertion-aware ones) had no distinct source label, so a rejection's real cause was not visible in the shipped record","In-code comments on each new branch (adf54aa, 8cf8fa9); FINAL_PRODUCTION_CONFIG.md section 8",adf54aa (+3 sources) and 8cf8fa9 (+3 assertion-aware sources) research/prototype/src/pipeline.py run_case,"9 final_field sources; the assembly rule itself is unchanged - anything not fully verified ships the ORIGINAL text, with both texts retained for inspection",research/prototype/src/pipeline.py @ fb4e98f run_case,PROMOTED_PRODUCTION,"research/prototype/outputs/final_metrics.json correction funnel (56 natural attempts: 1 shipped, 18 scope-gate rejections, 37 re-verification rejections, 0 unsafe); results_phase3/tables/correction_safety/correction_funnel.csv",YES - per-branch in-code comments,HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
CHG-37,Reproducibility metadata - config levers recorded per run,"The reproducibility block recorded mode, seed, models, quantization, threshold, timestamp and software versions only",0e37525 research/prototype/src/pipeline.py run_case reproducibility dict,"Without the lever values a committed output record could not be attributed to the config that produced it, making the bare/labeled and scope-check ablations uninterpretable after the fact",In-code comments (fe8b15b premise_framing: 'without this a run cannot be attributed to a framing after the fact'; adf54aa 'Additive: the other three config-level ablation knobs'),"fe8b15b (premise_framing), adf54aa (use_evidence_v1, atomic_scope_check, narrow_reverification_hypothesis), bb2cd93 (narrow_primary_hypothesis path), 8cf8fa9 (assertion_span_primary_hypothesis, assertion_aware_correction) research/prototype/src/pipeline.py",Every output record names the levers that produced it,research/prototype/src/pipeline.py @ fb4e98f run_case reproducibility block,INFRASTRUCTURE_ONLY,"Enabling infrastructure for every paired-arm ablation (final_gpu_validation, narrow_primary_hypothesis ablations, assertion_aware experiment)",YES - in-code comments,HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
CHG-38,Model loading / host memory,StatuteGroundingGenerator.load() called from_pretrained() with quantization_config + device_map and no memory hygiene,0e37525 research/prototype/src/generator.py load(),"On a 15.7GB-RAM laptop with ~5.1-5.5GB free, three consecutive fresh GPU batches (n=100, n=50, n=30) all failed during MODEL LOADING before any case was processed - GPU VRAM was never the bottleneck (>5.8GiB free every time)",research/prototype/outputs/gpu_experiment_memory_constraint.md; outputs/16gb_memory_architecture_audit.md,8cf8fa9 research/prototype/src/generator.py (explicit low_cpu_mem_usage=True + gc.collect()/torch.cuda.empty_cache() immediately before from_pretrained),"Loading mechanics only: 'Neither changes model identity, weights, quantization config, or output'; unblocked the fresh n=62 batch",research/prototype/src/generator.py @ fb4e98f load() docstring,INFRASTRUCTURE_ONLY,research/prototype/outputs/16gb_final_execution_report.md (memory-safe configuration that worked; real n=62 batch completed); outputs/16gb_memory_architecture_audit.md,YES - docstring and both audit reports,BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-39,Experiment harness - checkpointed/resumable GPU ablation + RAM guard,"run_narrow_primary_hypothesis_gpu_ablation.py ran a batch straight through, with no checkpointing and no host-memory awareness",c994687 research/prototype/scripts/run_narrow_primary_hypothesis_gpu_ablation.py (first version),The same host-memory ceiling that blocked model loading also made a long batch unrecoverable if it died mid-run,research/prototype/outputs/gpu_experiment_memory_constraint.md; requirements.txt psutil comment (8cf8fa9): 'memory guard (checks free system RAM before each case on memory-constrained hosts)',8cf8fa9 research/prototype/scripts/run_narrow_primary_hypothesis_gpu_ablation.py (checkpoint/resume rewrite) + research/requirements.txt psutil==7.2.2,The ablation is resumable and checks free RAM per case; it produced the committed n=62 result,research/prototype/outputs/16gb_final_execution_report.md; outputs/narrow_primary_hypothesis_gpu_ablation_16gb_*,INFRASTRUCTURE_ONLY,research/prototype/outputs/narrow_primary_hypothesis_gpu_ablation_16gb_report.md + _metrics.json (n=62),YES - requirements comment and the 16GB reports,HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
CHG-40,Evaluation harness - synthetic stress + natural targeted evaluation,Only run_mvp.py / run_eval_30.py / summarize_eval_30.py existed,0e37525 research/prototype/scripts/,"No mechanism existed to produce known-wrong claims or to target natural cases with corpus overlap, so contradiction detection and the correction path were barely exercised","research/prototype/src/synthetic_stress.py module docstring (223eb9d); outputs/research_evaluation_final.md (zero CONTRADICTED verdicts on natural data, so Mode C's correction path was never triggered)",223eb9d research/prototype/src/synthetic_stress.py + scripts/run_synthetic_stress_eval.py + scripts/run_natural_targeted_eval.py + scripts/reparse_n30_with_fixed_parser.py,A deterministic corruption harness and a targeted natural evaluation exist and are still used as GOLD-02,"research/prototype/outputs/run_synthetic_stress.jsonl, run_natural_targeted.jsonl; results_phase3 GOLD-02 rows",INFRASTRUCTURE_ONLY,"research/prototype/outputs/run_synthetic_stress.jsonl (GOLD-02: contradiction recall 0.356->0.458 under labeled framing, per PROJECT_CONTEXT/04_EXPERIMENTS_AND_RESULTS.md)",YES - commit 223eb9d and module docstrings,DETERMINISTIC_SYNTHETIC,Synthetic contradictions built deterministically from real statute text. Probes detection; says nothing about real-world legal accuracy.,"V2 FRESH (n=59, 2x2 factorial): contradiction recall 0.3559 -> 0.4576, McNemar exact p=0.0312 (6 discordant). NULL: narrow_primary_hypothesis has exactly zero effect on this set."
CHG-41,Evaluation harness - 420-item controlled verifier benchmark + framing comparison scripts,"Verifier quality was assessed only indirectly, through pipeline runs",0e37525 / 54c98d2 research/prototype/scripts/,"The project could not tell whether NEI verdicts came from the model, the premise construction or the corpus - 'Both framings of the problem turned out to be wrong'",research/prototype/outputs/verifier_correction_diagnosis.md headline,"fe8b15b research/prototype/scripts/build_controlled_benchmark.py, run_controlled_benchmark.py, compare_premise_framing_synthetic.py, rerun_correction_reverification.py, rerun_natural_verification.py + tests/test_controlled_benchmark.py, tests/test_premise_framing_production.py",A 420-item curated benchmark with stored softmax distributions (enabling threshold ablation with no re-inference) plus framing-comparison runners,"research/prototype/outputs/controlled_verifier_benchmark.jsonl, controlled_benchmark_deberta*_metrics.json",INFRASTRUCTURE_ONLY,research/prototype/outputs/controlled_benchmark_deberta_metrics.json / _labeled_metrics.json (GOLD-01); outputs/threshold_sensitivity_analysis.md,YES - commit fe8b15b and outputs/verifier_correction_diagnosis.md,GOLD,Gold-labelled benchmark. See the attributed/non-attributed stratification caveat before quoting the headline.,V2 FRESH full sweep 0.34-0.99 from stored softmax: labeled leads at EVERY threshold (smallest gap 0.1916); production 0.70 sits on a flat plateau.
CHG-42,Evaluation workspace - audited testing pack and reorganization,Evaluation artifacts lived ad hoc under outputs/ and testing/,0e37525-54c98d2 repository layout,"motivation: NOT_DOCUMENTED beyond the commit subjects (inferred from diff: consolidating provenance, per-component evidence and validator logs into one auditable tree)","commit subjects 4e221ba 'Add audited testing evaluation and figures', 9d39ca4 'Complete NyayaMind testing workspace and final evaluation audit', 61b240a 'Reorganize evaluation workspace and finalize validation'; research/prototype/evaluation/PROVENANCE.md, FINAL_PRE_COMMIT_AUDIT.md","4e221ba, 9d39ca4, 61b240a research/prototype/testing -> research/prototype/evaluation/ (+ archive/2026-08-27_presentation/)","research/prototype/evaluation/ holds components/, ablation/, metrics/, comparisons/, live_demo/, PROVENANCE.md and external validator logs","research/prototype/evaluation/MANIFEST.md, PROVENANCE.md, PASS3A/PASS3B reorganization reports",INFRASTRUCTURE_ONLY,research/prototype/evaluation/metrics/COMPONENT_TEST_MATRIX.csv; results_phase3/tables/component_results/component_results.csv (302/302 tests),"NO - inferred from diff and commit subjects (INFERENCE, flagged)",BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-43,Live component and pipeline demos,run_demo.py was a single monolithic demo script,b83bb6b (pre-state) research/prototype/evaluation/live_demo/run_demo.py,"motivation: NOT_DOCUMENTED (inferred from diff: per-stage demonstrations of the real production modules on real data, for the research demo/faculty pack)",commit b83bb6b 'feat: add comprehensive component and pipeline demos'; research/prototype/evaluation/live_demo/README.md,b83bb6b research/prototype/evaluation/live_demo/01-06 stage demos + 07_full_pipeline/ outcome demos + common/ helpers; 8cf8fa9 run_demo.py config print,Six per-stage demos plus four full-pipeline outcome demos that run the real production modules,"research/prototype/evaluation/live_demo/README.md, demo_run_log.txt",INFRASTRUCTURE_ONLY,"NONE (demonstration, not measurement)","NO - inferred from diff and commit subject (INFERENCE, flagged)",BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-44,"Figures, diagrams and results packs","No figures, diagrams or consolidated metric tables existed",0e37525 repository (outputs/*.jsonl and *.md only),"motivation: NOT_DOCUMENTED beyond commit subjects (inferred from diff: building a presentable, provenance-traced research/demo package)","commit subjects a3cd187, 4ca3fad, 6c74e21, fb4e98f; research/prototype/Output_phase_3_vedant/FIGURE_DATA_AUDIT.md and NOT_GENERATED_REGISTER.md; results_phase3/sources/SOURCE_MAP.csv","a3cd187 and 4ca3fad (final_demo_pack / final_comparison), 6c74e21 (Output_phase_3_vedant: 25 figures, 14 diagrams, 25 metric CSVs), fb4e98f (results_phase3 + PROJECT_CONTEXT)","results_phase3/ holds figures, diagrams, tables, RESEARCH_CLAIMS.md, LIMITATIONS.md and a SOURCE_MAP tracing each figure to its metric artifact",research/prototype/results_phase3/sources/SOURCE_MAP.csv and RESULT_INDEX.csv,DOCS_ONLY,NONE (these packages render existing experiments; they measure nothing new - stated in FINAL_RESEARCH_FREEZE_REPORT.md section J),"NO - inferred from diff and commit subjects (INFERENCE, flagged)",BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-45,Decision-record and status documentation,README.md and BASELINE.md only; no decision record for config levers,"0e37525 README.md, research/prototype/README.md, research/baseline/BASELINE.md","motivation: NOT_DOCUMENTED as a 'problem' (inferred from diff: the production-lever decisions and their evidence needed one authoritative, dated home)",FINAL_PRODUCTION_CONFIG.md header: 'This document is the single source of truth for what research/prototype/config/prototype.yaml ships with and why',"100e263 (REPRODUCIBILITY.md, final_research_results.md, final_limitations_and_future_scope.md), adf54aa/c994687/bb2cd93 (dated addenda), 8cf8fa9 (FINAL_PRODUCTION_CONFIG.md, FINAL_RESEARCH_FREEZE_REPORT.md), ccbe73f (README), fb4e98f (PROJECT_CONTEXT/*)","FINAL_PRODUCTION_CONFIG.md records 5 changed levers, 2 evaluated-not-promoted mechanisms, 1 rejected retrieval option and 1 deliberately-unchanged threshold, each with its evidence","FINAL_PRODUCTION_CONFIG.md, FINAL_RESEARCH_FREEZE_REPORT.md, PROJECT_CONTEXT/04_EXPERIMENTS_AND_RESULTS.md",DOCS_ONLY,NONE,YES - the documents state their own purpose,NOT_APPLICABLE,No behavioural claim attaches to this change.,
CHG-46,Repo hygiene - scratch removal and config-aware evidence loading in run_mvp,scratch/ held four ad-hoc analysis scripts; run_mvp.py built evidence-loader arguments by hand (v0 only),54c98d2 research/prototype/scratch/*; 0e37525 research/prototype/scripts/run_mvp.py,"motivation: NOT_DOCUMENTED (inferred from diff: run_mvp --check reported a pool size that ignored use_evidence_v1, and the scratch scripts were superseded)",3e9e09a diff of scripts/run_mvp.py (switches to load_usable_evidence_from_config and prints use_evidence_v1),3e9e09a research/prototype/scripts/run_mvp.py + deletion of research/prototype/scratch/,run_mvp.py --check loads through load_usable_evidence_from_config and reports 136 usable records with use_evidence_v1 shown,research/prototype/scripts/run_mvp.py @ fb4e98f; FINAL_RESEARCH_FREEZE_REPORT.md section B ('run_mvp.py --check passes cleanly ... 136 usable records'),INFRASTRUCTURE_ONLY,NONE,"NO - inferred from diff (INFERENCE, flagged)",NOT_APPLICABLE,No behavioural claim attaches to this change.,
CHG-47,Error-propagation instrumentation for correction attempts,Correction failures were visible only as a status string per record; no stage-level attribution existed,0e37525-c994687 research/prototype/outputs/*_corrections_detail.jsonl,"The project could not say WHERE a correction attempt first failed (parsing, retrieval, verification, targeting, generation, splice, safety gate, re-verification, sibling gate)",research/prototype/outputs/error_propagation_analysis.md Scope section,8cf8fa9 research/prototype/scripts/build_error_propagation_matrix.py + outputs/error_propagation_matrix.csv + outputs/error_propagation_analysis.md,"First-failure stage is computed per (document, arm) pair for the n=10 assertion-aware batch",research/prototype/outputs/error_propagation_matrix.csv; results_phase3 figure error_propagation_first_failure_stage.png,INFRASTRUCTURE_ONLY,"research/prototype/outputs/error_propagation_matrix.csv (n=10: 5 safety_scope_citation_ordinal, 2 reverification, 2 safety_sibling_regression, 1 correctly not triggered; 0/10 shipped)",YES - the analysis document states its scope and its honest limitations,BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
